3475, long-splice short-splice multi-strand-bend
40, long-spritsail-sheet
1813, long-terminal
3079, long-three-ply
557, long-toggle-shaped
801, loop multi-strand-stopper-s
647, loop overhand
1693, loop thumb
2347, loop harness-loop farmer's-loop
683, loop-lashing bowline harness-loop single-bowline loop half-hitches
1953, loop-or-eye-for-the-button
549, loose-hitches half-hitch
1435, lorn leader-lop
3483, luce's-deck-stopper
759, magner-hitch
933 1715, magnus rolling-hitch
1028 3054, magnus-hitch camel-hitch safety-belt-hitch
2156, magnus-hitch
419, malingspike-hitch
1935, manger-hitch
164 273 1130 1039 155, manrope
266, manrose multi-strand-buttons
632, manuel-perry's-sinnet
1132, maple-leaf
512, mariner's-splice
612, marline-bend
358, marline-hitch half-hitch half-hitch weaver's
435, marline-hitches
2446, marline-hitches single-hitches
1851, marline-hitches trick
215, marline-hitching
1680, marlingspike single
163, marlingspike-hitch boat
1151 1155 1815 11 1926 1423, marlingspike-hitch
898, marlingspike-hitch boat noose-hitch
420, marlingspike-hitch farmer's-noose-hitch
1889, marlingspike-hitches
930, martha's-vineyard-boat-heaving-line
3012, masthead jury-mast
3008 3011 2455, masthead
553, mathew-walker manrope
1052, mattew-walker
3320, mattew-walker eye-splice
177 481 153 1207 1717 590 1015 1846 1451, matthew-walker
198 1479, matthew-walker-by-seaman's-way
1273, matthew-walker-crowned
2214, matthew-walker-with-four-part-crown-at-the-top
601, mauretania turk's-head three-bight four-part-turk's-head
604, melon-seed
1774, mesh fisherman's-netting sheet-bend
2235, mesh
994 999 202 1275 1966 44, midshipman's-hitch
1866 3518, midshipman's-hitch rolling-hitch two-half-hitch clove-hitch
2122 196, midshipman's-hitch half-hitch
1492, miller sack half-bow clove-hitch bag-s constrictor
974 1003, miller
542, mohair queensbury half half-hitch overhand-bend
2200, mohair weaver's
2161, monkey-chain chain-shortening
452, monkey-chain
1437, monkey-chain-lanyard
1779, monkey's-first
234, monkey's-fist heaving-line monkey's-fist
1816, monkey's-fist three-strand-manrope three-strand-diamond three-strand-footrope two-ply three-ply
1156, monkey's-fist single-overhand double-overhand triple-overhand quadruple-overhand
458, monkey's-fist double-overhand triple-overhand overhand
645, monkey's-fist triple-overhand overhand
1986, monkey's-fist
1683, monkey's-fist cube
1686, monkey's-tail single-throat-seizing seized-round-turn clinch pigtail
1692, mooring-hitch magnus rolling-hitch single-hitch
1252, mors-du-cheval
3854, moth
630 365, mouse
819, multifold-becket-hitch
576, multiple-bends
620 884, multiple-figure-eight
886, multiple-loop
3039 2012, multiple-overhand
688, multiple-parallel-loop
425, multiple-parallel-loops
334, multiple-portuguese-bowline
3466, multiple-racking-bend
3095, multiple-sheet-bend
623 986, multi-strand-button
582, multi-strand-button-s
3473, multi-strand constrictor
1753 2343 450, multi-strand
592, multi-strand ten-lead four-bight-turk's-head
2178, multi-strand two-ply three-ply four-ply five-ply
1928, multi-strand-matthew-walker
1811, multi-strand-stopper layard
603, narrow-turk's-head
3016, narrow-turk's-heads
1097 308, net-line
860, net-line-hitch-from-clovelly
426, net-line-hitch-from-looe
1842 1383, net-pole
572, netting-needle-sinnet flat-sinnet-turk's-head three-lead-truk's-head flat-sinnet five-lead seven-lead
3503, nettle-stuff nettles knittles knettles nittles
835, newgate
1172, nine-strand
1528, nine-strand-sinnet multi-strand-lanyard
470 1890, nip
2368, nippers twistters
2480 1318 444, noose
2089, noose noose simple-noose
3038, noose slippery-hitch
206, noose crossing eye-splice
3162, noose-hitch farmer's-hitch
529, noose-hitch
2145, norfolk-to-washington-boat-heaving-line
3123 362, nose-twitch
295, nosegay
345 1413, oblong
1547 3047 331, ocean-plat
760, octagonal
1707, one-hitch
1241, one-cord
1154, one-lenght-hitch single-hitch
1157, open-carrick-bend
1433, open-loop
2175, ordinary-fox
1306 2287, outside-clinch
1424, over-and-under-heaving-line
2054, overhand single-strand-stopper
850 2142 3465 2163 639 2210 674 190 1033 434 872 3487 3480 681 187 1837 2186 3046 1519, overhand
516, overhand marline-hitch half single-hitch sheepshank blackwall-hitch strap-hitch bale-sling-hitch
1765, overhand simple,-single,-thumb,-common,-and-ordinary
1544, overhand-bend thumb openhand sheet-bend
996, overhand-bend ring
524 1759, overhand-bend
3185, overhand simple
1402, overhand figure-of-eight overhand
526, overhand noose
260, overhand marline-hitch single-hitch
59, overhand-to-tie-a-double-twist-braid
3176, overhand-s strand-matthew-walker
2337, overhand-s
505, overhand-round-turn-hitching
65, owl
518, oysterman's-stopper three-strand-wall half
519, packer rolled-roast corned-beef
1975, packer half-hitch
1204, packing figure-eight butcher's
1787, parcel
1718, parker
1256, pearl
700 923 1186 1880 229, pectoral
1806, pellet-shaped-button
1023, pendant
1054, pendant-hitch
3302 817 2013 862 747 2336 1381, pentagon
1790, pentagon-in-two-planes
1011, pentalpha
1280, perry-basket footrope crown-and-wall
1278, persian senna
1871, petagonal-butterfly-button
1854, picket-line-hitch
1725, picket-line-hitch snug-hitch turk's-head ground-line-hitch
3484, pile-hitch
1995, pillow-shaped
169, pillow-shaped-rectangular
1892, pilot
1701, poacher
246, pocket-shaped
650, police-line
210, policeman's-nippers
527, porter right-handed-double threefold-overhand reef
1462 1775, portuguese-bowline
843, portuguese-bowline anchor-bend french-bowline double-loop-s
61, portuguese-bowline spanish-bowline single-hitch
1991, pot-hitch clove-hitch
47, precipice slippery-hitch
6, pretzel giant-pretzel
1160, pretzel
1163 899 1886, prolong
1425, propeller
2284, puddening-an-ancor-ring
3481, pudding
1147, pumpkin-seed
607, punch-mat wrought-mat
1831, pyramid
1441, quarter-round
1875, quarter-pole-hitch
1235, quarter-pole-twist
1202, quatrefoil oysterman's-stopper
1914, racking-bend
1670, racking-hitch cat's-paw
2339 735 1403, railroad-sinnet
805, ralted-to-the-monkey's-fist
1911 1724 2463 634 1601 1237, rectangular
640, rectangular-two-plane-lanyard
1391, reef square binding
1389, reef square bend
1783 1804 1832, reef square
243, reef reef
1826 2121 1833 1328 629 959, reef
2001 941, reef-becket
946, reef reversed-hitch cow-hitch
928, reef square binder
151, reef weaver's
1053, reef carrick-bend
3337, reef parcel bow crossing-s
468, reef-or-square
1046, reef-pendant-hitch circus-pole-hitches
2068, reeving-line-bend two-half-hitches grass
403, reeving-off-bend
1242, reserve-hitches two-half-hitches
1728, reverse-star
